ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
10,40,0.650,0.050,0.070,0.35,95.8188,95.8188,0.0000
10,40,0.650,0.060,0.030,0.35,91.6376,91.6376,0.0000
10,40,0.650,0.060,0.040,0.35,86.7596,86.7596,0.0000
10,40,0.650,0.060,0.050,0.35,92.3345,92.3345,0.0000
10,40,0.650,0.060,0.060,0.35,94.7735,94.7735,0.0000
10,40,0.650,0.060,0.070,0.35,83.9721,83.9721,0.0000
10,40,0.650,0.070,0.030,0.35,91.9861,91.9861,0.0000
10,40,0.650,0.070,0.040,0.35,94.7735,94.7735,0.0000
10,40,0.650,0.070,0.050,0.35,94.0767,94.0767,0.0000
10,40,0.650,0.070,0.060,0.35,87.8049,87.8049,0.0000
10,40,0.650,0.070,0.070,0.35,85.3659,85.3659,0.0000
10,40,0.650,0.080,0.030,0.35,96.8641,96.8641,0.0000
10,40,0.650,0.080,0.040,0.35,92.6829,92.6829,0.0000
10,40,0.650,0.080,0.050,0.35,90.2439,90.2439,0.0000
10,40,0.650,0.080,0.060,0.35,96.1672,96.1672,0.0000
10,40,0.650,0.080,0.070,0.35,88.8502,88.8502,0.0000
-------------------------------------------
10,40,0.800,0.020,0.030,0.35,78.7456,78.7456,0.0000
10,40,0.800,0.020,0.040,0.35,89.1986,89.1986,0.0000
10,40,0.800,0.020,0.050,0.35,88.8502,88.8502,0.0000
10,40,0.800,0.020,0.060,0.35,84.6690,84.6690,0.0000
10,40,0.800,0.020,0.070,0.35,84.3206,84.3206,0.0000
10,40,0.800,0.030,0.030,0.35,97.9094,97.9094,0.0000
10,40,0.800,0.030,0.040,0.35,93.0314,93.0314,0.0000
10,40,0.800,0.030,0.050,0.35,91.6376,91.6376,0.0000
10,40,0.800,0.030,0.060,0.35,91.6376,91.6376,0.0000
10,40,0.800,0.030,0.070,0.35,87.8049,87.8049,0.0000
10,40,0.800,0.040,0.030,0.35,88.5017,88.5017,0.0000
10,40,0.800,0.040,0.040,0.35,93.3798,93.3798,0.0000
10,40,0.800,0.040,0.050,0.35,88.5017,88.5017,0.0000
10,40,0.800,0.040,0.060,0.35,86.7596,86.7596,0.0000
10,40,0.800,0.040,0.070,0.35,88.8502,88.8502,0.0000
10,40,0.800,0.050,0.030,0.35,91.6376,91.6376,0.0000
10,40,0.800,0.050,0.040,0.35,91.2892,91.2892,0.0000
10,40,0.800,0.050,0.050,0.35,88.1533,88.1533,0.0000
10,40,0.800,0.050,0.060,0.35,85.7143,85.7143,0.0000
10,40,0.800,0.050,0.070,0.35,92.6829,92.6829,0.0000
10,40,0.800,0.060,0.030,0.35,91.9861,91.9861,0.0000
10,40,0.800,0.060,0.040,0.35,96.8641,96.8641,0.0000
10,40,0.800,0.060,0.050,0.35,89.1986,89.1986,0.0000
10,40,0.800,0.060,0.060,0.35,88.5017,88.5017,0.0000
10,40,0.800,0.060,0.070,0.35,88.5017,88.5017,0.0000
10,40,0.800,0.070,0.030,0.35,88.1533,88.1533,0.0000
10,40,0.800,0.070,0.040,0.35,95.8188,95.8188,0.0000
10,40,0.800,0.070,0.050,0.35,91.6376,91.6376,0.0000
10,40,0.800,0.070,0.060,0.35,85.3659,85.3659,0.0000
10,40,0.800,0.070,0.070,0.35,90.2439,90.2439,0.0000
10,40,0.800,0.080,0.030,0.35,90.5923,90.5923,0.0000
10,40,0.800,0.080,0.040,0.35,93.0314,93.0314,0.0000
10,40,0.800,0.080,0.050,0.35,96.5157,96.5157,0.0000
10,40,0.800,0.080,0.060,0.35,92.6829,92.6829,0.0000
10,40,0.800,0.080,0.070,0.35,90.5923,90.5923,0.0000
-------------------------------------------
10,60,0.300,0.020,0.030,0.35,95.8188,95.8188,0.0000
10,60,0.300,0.020,0.040,0.35,96.5157,96.5157,0.0000
10,60,0.300,0.020,0.050,0.35,85.3659,85.3659,0.0000
10,60,0.300,0.020,0.060,0.35,89.8955,89.8955,0.0000
10,60,0.300,0.020,0.070,0.35,89.5470,89.5470,0.0000
10,60,0.300,0.030,0.030,0.35,93.0314,93.0314,0.0000
10,60,0.300,0.030,0.040,0.35,91.2892,91.2892,0.0000
10,60,0.300,0.030,0.050,0.35,93.0314,93.0314,0.0000
10,60,0.300,0.030,0.060,0.35,95.1220,95.1220,0.0000
10,60,0.300,0.030,0.070,0.35,88.5017,88.5017,0.0000
10,60,0.300,0.040,0.030,0.35,92.6829,92.6829,0.0000
10,60,0.300,0.040,0.040,0.35,92.6829,92.6829,0.0000
10,60,0.300,0.040,0.050,0.35,91.9861,91.9861,0.0000
10,60,0.300,0.040,0.060,0.35,91.9861,91.9861,0.0000
10,60,0.300,0.040,0.070,0.35,95.1220,95.1220,0.0000
10,60,0.300,0.050,0.030,0.35,92.6829,92.6829,0.0000
10,60,0.300,0.050,0.040,0.35,97.5610,97.5610,0.0000
10,60,0.300,0.050,0.050,0.35,95.1220,95.1220,0.0000
10,60,0.300,0.050,0.060,0.35,92.3345,92.3345,0.0000
10,60,0.300,0.050,0.070,0.35,86.7596,86.7596,0.0000
10,60,0.300,0.060,0.030,0.35,97.2125,97.2125,0.0000
10,60,0.300,0.060,0.040,0.35,95.4704,95.4704,0.0000
10,60,0.300,0.060,0.050,0.35,93.7282,93.7282,0.0000
10,60,0.300,0.060,0.060,0.35,94.4251,94.4251,0.0000
10,60,0.300,0.060,0.070,0.35,88.1533,88.1533,0.0000
10,60,0.300,0.070,0.030,0.35,95.1220,95.1220,0.0000
10,60,0.300,0.070,0.040,0.35,96.5157,96.5157,0.0000
10,60,0.300,0.070,0.050,0.35,89.1986,89.1986,0.0000
10,60,0.300,0.070,0.060,0.35,89.1986,89.1986,0.0000
10,60,0.300,0.070,0.070,0.35,92.3345,92.3345,0.0000
10,60,0.300,0.080,0.030,0.35,94.7735,94.7735,0.0000
10,60,0.300,0.080,0.040,0.35,93.7282,93.7282,0.0000
10,60,0.300,0.080,0.050,0.35,86.4111,86.4111,0.0000
10,60,0.300,0.080,0.060,0.35,95.4704,95.4704,0.0000
10,60,0.300,0.080,0.070,0.35,89.5470,89.5470,0.0000
-------------------------------------------
10,60,0.450,0.020,0.030,0.35,88.5017,88.5017,0.0000
10,60,0.450,0.020,0.040,0.35,91.9861,91.9861,0.0000
10,60,0.450,0.020,0.050,0.35,92.6829,92.6829,0.0000
10,60,0.450,0.020,0.060,0.35,94.4251,94.4251,0.0000
10,60,0.450,0.020,0.070,0.35,93.0314,93.0314,0.0000
10,60,0.450,0.030,0.030,0.35,92.3345,92.3345,0.0000
10,60,0.450,0.030,0.040,0.35,93.3798,93.3798,0.0000
10,60,0.450,0.030,0.050,0.35,89.8955,89.8955,0.0000
10,60,0.450,0.030,0.060,0.35,90.5923,90.5923,0.0000
10,60,0.450,0.030,0.070,0.35,93.0314,93.0314,0.0000
10,60,0.450,0.040,0.030,0.35,94.4251,94.4251,0.0000
10,60,0.450,0.040,0.040,0.35,91.6376,91.6376,0.0000
10,60,0.450,0.040,0.050,0.35,95.1220,95.1220,0.0000
10,60,0.450,0.040,0.060,0.35,88.5017,88.5017,0.0000
10,60,0.450,0.040,0.070,0.35,90.2439,90.2439,0.0000
10,60,0.450,0.050,0.030,0.35,93.3798,93.3798,0.0000
10,60,0.450,0.050,0.040,0.35,91.6376,91.6376,0.0000
10,60,0.450,0.050,0.050,0.35,90.5923,90.5923,0.0000
10,60,0.450,0.050,0.060,0.35,96.8641,96.8641,0.0000
10,60,0.450,0.050,0.070,0.35,97.9094,97.9094,0.0000
10,60,0.450,0.060,0.030,0.35,87.1080,87.1080,0.0000
10,60,0.450,0.060,0.040,0.35,91.2892,91.2892,0.0000
10,60,0.450,0.060,0.050,0.35,95.1220,95.1220,0.0000
10,60,0.450,0.060,0.060,0.35,93.0314,93.0314,0.0000
10,60,0.450,0.060,0.070,0.35,89.5470,89.5470,0.0000
10,60,0.450,0.070,0.030,0.35,94.0767,94.0767,0.0000
10,60,0.450,0.070,0.040,0.35,88.1533,88.1533,0.0000
10,60,0.450,0.070,0.050,0.35,88.5017,88.5017,0.0000
10,60,0.450,0.070,0.060,0.35,91.2892,91.2892,0.0000
10,60,0.450,0.070,0.070,0.35,97.2125,97.2125,0.0000
10,60,0.450,0.080,0.030,0.35,91.9861,91.9861,0.0000
10,60,0.450,0.080,0.040,0.35,97.5610,97.5610,0.0000
10,60,0.450,0.080,0.050,0.35,95.4704,95.4704,0.0000
10,60,0.450,0.080,0.060,0.35,93.7282,93.7282,0.0000
10,60,0.450,0.080,0.070,0.35,93.7282,93.7282,0.0000
-------------------------------------------
10,60,0.650,0.020,0.030,0.35,89.8955,89.8955,0.0000
10,60,0.650,0.020,0.040,0.35,85.3659,85.3659,0.0000
10,60,0.650,0.020,0.050,0.35,95.1220,95.1220,0.0000
10,60,0.650,0.020,0.060,0.35,91.2892,91.2892,0.0000
10,60,0.650,0.020,0.070,0.35,89.5470,89.5470,0.0000
10,60,0.650,0.030,0.030,0.35,93.7282,93.7282,0.0000
10,60,0.650,0.030,0.040,0.35,95.8188,95.8188,0.0000
10,60,0.650,0.030,0.050,0.35,97.2125,97.2125,0.0000
10,60,0.650,0.030,0.060,0.35,93.3798,93.3798,0.0000
10,60,0.650,0.030,0.070,0.35,85.7143,85.7143,0.0000
10,60,0.650,0.040,0.030,0.35,89.1986,89.1986,0.0000
10,60,0.650,0.040,0.040,0.35,93.3798,93.3798,0.0000
10,60,0.650,0.040,0.050,0.35,94.7735,94.7735,0.0000
10,60,0.650,0.040,0.060,0.35,95.1220,95.1220,0.0000
10,60,0.650,0.040,0.070,0.35,93.0314,93.0314,0.0000
10,60,0.650,0.050,0.030,0.35,94.0767,94.0767,0.0000
10,60,0.650,0.050,0.040,0.35,94.0767,94.0767,0.0000
10,60,0.650,0.050,0.050,0.35,98.2578,98.2578,0.0000
10,60,0.650,0.050,0.060,0.35,94.7735,94.7735,0.0000
10,60,0.650,0.050,0.070,0.35,81.1847,81.1847,0.0000
10,60,0.650,0.060,0.030,0.35,95.8188,95.8188,0.0000
10,60,0.650,0.060,0.040,0.35,87.8049,87.8049,0.0000
10,60,0.650,0.060,0.050,0.35,93.0314,93.0314,0.0000
10,60,0.650,0.060,0.060,0.35,92.6829,92.6829,0.0000
10,60,0.650,0.060,0.070,0.35,95.1220,95.1220,0.0000
10,60,0.650,0.070,0.030,0.35,91.6376,91.6376,0.0000
10,60,0.650,0.070,0.040,0.35,95.4704,95.4704,0.0000
10,60,0.650,0.070,0.050,0.35,96.5157,96.5157,0.0000
10,60,0.650,0.070,0.060,0.35,98.2578,98.2578,0.0000
10,60,0.650,0.070,0.070,0.35,94.4251,94.4251,0.0000
10,60,0.650,0.080,0.030,0.35,90.5923,90.5923,0.0000
10,60,0.650,0.080,0.040,0.35,94.0767,94.0767,0.0000
